Dist,providerListingId,imgSrc,hasImage,detailUrl,statusType,statusText,address,addressStreet,addressCity,addressState,addressZipcode,units,latLong,buildingName,isBuilding,canSaveBuilding,isFeaturedListing,isShowcaseListing,availabilityCount,isInstantTourEnabled,isContactable,rawHomeStatusCd,countryCurrency,price,unformattedPrice,isUndisclosedAddress,beds,baths,area,isZillowOwned,hdpData,isUserClaimingOwner,isUserConfirmedClaim,pgapt,sgapt,shouldShowZestimateAsPrice,hasVideo,isHomeRec,hasAdditionalAttributions,availabilityDate,zestimate,latitude,longitude,crime_cnt_2b,safety_pr
0. SLU,sg3b5uee0v1n,https://photos.zillowstatic.com/fp/a4895b63b98dfdef89efca4a1088b324-p_e.jpg,True,https://www.zillow.com/homedetails/602-Melrose-Ave-E-APT-102-Seattle-WA-98102/2095219214_zpid/,FOR_RENT,Apartment for rent,"602 Melrose Ave E APT 102, Seattle, WA 98102",602 Melrose Ave E APT 102,Seattle,WA,98102,,"{'latitude': 47.624454, 'longitude': -122.3276}",,,,False,False,,,,ForRent,$,2695,2695.0,False,3.0,2.0,2100.0,False,"{'homeInfo': {'zpid': 2095219214, 'streetAddress': '602 Melrose Ave E APT 102', 'zipcode': '98102', 'city': 'Seattle', 'state': 'WA', 'latitude': 47.624454, 'longitude': -122.3276, 'price': 2695.0, 'datePriceChanged': 1737360000000, 'bathrooms': 2.0, 'bedrooms': 3.0, 'livingArea': 2100.0, 'homeType': 'APARTMENT', 'homeStatus': 'FOR_RENT', 'daysOnZillow': 4, 'isFeatured': False, 'shouldHighlight': False, 'isRentalWithBasePrice': False, 'rentZestimate': 3601, 'listing_sub_type': {}, 'priceReduction': '$100 (Jan 20)', 'isUnmappable': False, 'isPreforeclosureAuction': False, 'homeStatusForHDP': 'FOR_RENT', 'priceForHDP': 2695.0, 'priceChange': -100, 'timeOnZillow': 429888000, 'isNonOwnerOccupied': True, 'isPremierBuilder': False, 'isZillowOwned': False, 'currency': 'USD', 'country': 'USA', 'unit': 'Apt 102', 'isShowcaseListing': False}}",False,False,ForRent,For Rent,False,False,False,False,2025-02-01 00:00:00,,47.624454,-122.3276,7,29.89399293286219
0. SLU,4qt479ezu6916,https://photos.zillowstatic.com/fp/8f8decb31217a7f9ce5c36720ce64e33-p_e.jpg,True,/apartments/seattle-wa/queens-oaks/9VWkf7/,FOR_RENT,Queens Oaks,"718 4th Ave N, Seattle, WA",718 4th Ave N  Apt 49,Seattle,WA,98109,"[{'price': '$1,375+', 'beds': '1', 'roomForRent': False}, {'price': '$2,300+', 'beds': '2', 'roomForRent': False}]","{'latitude': 47.626125, 'longitude': -122.34872}",Queens Oaks,True,True,True,False,2.0,False,True,,,2300,,,2.0,,,,,,,,,,,,,,,47.626125,-122.34872,4,62.3321554770318
0. SLU,am0684krr2k5,https://photos.zillowstatic.com/fp/4b01ad5c9aabb300fa172ed64e6edeaa-p_e.jpg,True,/apartments/seattle-wa/the-cairns/5Xk283/,FOR_RENT,The Cairns,"422 Yale Ave N, Seattle, WA",422 Yale Ave N  # 1504,Seattle,WA,98109,"[{'price': '$2,238+', 'beds': '1', 'roomForRent': False}, {'price': '$2,604+', 'beds': '2', 'roomForRent': False}]","{'latitude': 47.622467, 'longitude': -122.33007}",The Cairns,True,True,True,False,2.0,True,True,,,2604,,,2.0,,,,,,,,,,,,,,,47.622467,-122.33007,8,23.356890459363953
0. SLU,4uq1w5ugn5181,https://photos.zillowstatic.com/fp/96871cdaeb290a902daab0d95440cebb-p_e.jpg,True,/apartments/seattle-wa/union-slu/95xHNT/,FOR_RENT,Union SLU,"905 Dexter Ave N, Seattle, WA",905 Dexter Ave  N  # L332,Seattle,WA,98109,"[{'price': '$2,115+', 'beds': '1', 'roomForRent': False}, {'price': '$4,033+', 'beds': '2', 'roomForRent': False}]","{'latitude': 47.627815, 'longitude': -122.34273}",Union SLU,True,True,True,False,9.0,False,True,,,4033,,,2.0,,,,,,,,,,,,,,,47.627815,-122.34273,5,50.918727915194346
0. SLU,b2d81ux43u19,https://photos.zillowstatic.com/fp/9d52268c4aa47a74575bdef4daa38f87-p_e.jpg,True,/apartments/seattle-wa/taylor-28/5Xj9gd/,FOR_RENT,Taylor 28,"100 Taylor Ave N, Seattle, WA",100 Taylor Ave  N  # B203,Seattle,WA,98109,"[{'price': '$2,032+', 'beds': '1', 'roomForRent': False}, {'price': '$3,106+', 'beds': '2', 'roomForRent': False}]","{'latitude': 47.6191, 'longitude': -122.3461}",Taylor 28,True,True,True,False,5.0,True,True,,,3106,,,2.0,,,,,,,,,,,,,,,47.6191,-122.3461,2,86.57243816254417
0. SLU,50d658jqm41c,https://photos.zillowstatic.com/fp/aeb60f64b2e57cb4339891fedbce2c80-p_e.jpg,True,/apartments/seattle-wa/chroma/BK36fD/,FOR_RENT,Chroma,"1212 Harrison St, Seattle, WA",1212 Harrison St # 103-P,Seattle,WA,98109,"[{'price': '$1,890+', 'beds': '1', 'roomForRent': False}, {'price': '$2,621+', 'beds': '2', 'roomForRent': False}]","{'latitude': 47.622112, 'longitude': -122.332634}",Chroma,True,True,True,False,25.0,False,True,,,2621,,,2.0,,,,,,,,,,,,,,,47.622112,-122.332634,4,62.3321554770318
0. SLU,4fefanrn8u3yu,https://photos.zillowstatic.com/fp/eedd734335ee7f9d6fa704e634824140-p_e.jpg,True,/apartments/seattle-wa/the-illiad/5jDznD/,FOR_RENT,The Illiad,"112 Bellevue Ave E, Seattle, WA",112 Bellevue Ave  E  Apt 307,Seattle,WA,98102,"[{'price': '$2,095+', 'beds': '2', 'roomForRent': False}, {'price': '$3,055+', 'beds': '3', 'roomForRent': False}]","{'latitude': 47.619022, 'longitude': -122.3263}",The Illiad,True,True,True,False,2.0,False,True,,,3055,,,3.0,,,,,,,,,,,,,,,47.619022,-122.3263,3,74.59363957597174
0. SLU,2dwzzs20y8hme,https://photos.zillowstatic.com/fp/34b9ccf40b3bcf39a757a53dedd76024-p_e.jpg,True,/apartments/seattle-wa/alley-south-lake-union/5XrWJf/,FOR_RENT,Alley South Lake Union,"241 Yale Ave N, Seattle, WA",241 Yale Ave  N  # 533,Seattle,WA,98109,"[{'price': '$2,389+', 'beds': '1', 'roomForRent': False}, {'price': '$3,465+', 'beds': '2', 'roomForRent': False}]","{'latitude': 47.62028, 'longitude': -122.3314}",Alley South Lake Union,True,True,True,False,5.0,False,True,,,3465,,,2.0,,,,,,,,,,,,,,,47.62028,-122.3314,2,86.57243816254417
0. SLU,tk9e4e57mmh1,https://photos.zillowstatic.com/fp/a7cf208ad3a8ff2d394cabcd5396222e-p_e.jpg,True,/apartments/seattle-wa/ben-lomond/5XmyBs/,FOR_RENT,Ben Lomond,"1027 Bellevue Ct E, Seattle, WA",1027 Bellevue Ct E  Apt 405,Seattle,WA,98102,"[{'price': '$1,495+', 'beds': '1', 'roomForRent': False}, {'price': '$1,895+', 'beds': '2', 'roomForRent': False}]","{'latitude': 47.6275, 'longitude': -122.32743}",Ben Lomond,True,True,True,False,4.0,False,True,,,1895,,,2.0,,,,,,,,,,,,,,,47.6275,-122.32743,6,39.46996466431095
0. SLU,44vtqcmktaem1,https://photos.zillowstatic.com/fp/c4eb4f54bfce20d5a6e10c7d615c1eeb-p_e.jpg,True,/apartments/seattle-wa/grv-grandview-apartments/5jF24Y/,FOR_RENT,GRV Grandview Apartments,"409 Eastlake Ave E, Seattle, WA",409 Eastlake Ave  E  Apt 405,Seattle,WA,98109,"[{'price': '$1,395+', 'beds': '1', 'roomForRent': False}, {'price': '$1,595+', 'beds': '2', 'roomForRent': False}]","{'latitude': 47.622303, 'longitude': -122.32935}",GRV Grandview Apartments,True,True,True,False,3.0,False,True,,,1595,,,2.0,,,,,,,,,,,,,,,47.622303,-122.32935,4,62.3321554770318
0. SLU,64u510pwyeka,https://photos.zillowstatic.com/fp/58eb88fd149d555c17eecdb23c46a68c-p_e.jpg,True,/b/borsen-residences-403-seattle-wa-5jF2nm/,FOR_RENT,Borsen Residences - 403,"515 Summit Ave E, Seattle, WA",515 Summit Ave  E  Apt 403,Seattle,WA,98102,"[{'price': '$3,440+', 'beds': '1', 'roomForRent': False}, {'price': '$3,490+', 'beds': '2', 'roomForRent': False}]","{'latitude': 47.62363, 'longitude': -122.325676}",Borsen Residences - 403,True,False,True,False,2.0,False,False,,,3490,,,2.0,,,,,,,,,,,,,,,47.62363,-122.325676,9,17.73851590106007
0. SLU,r620b5m8ejsh,https://photos.zillowstatic.com/fp/51841a0a2d0277a2192b60400902a3fb-p_e.jpg,True,/b/522-hs-lewis-seattle-wa-9P5wtp/,FOR_RENT,522 Hs Lewis,"522 Prospect St, Seattle, WA",522 Prospect St # 526,Seattle,WA,98109,"[{'price': '$1,995+', 'beds': '1', 'roomForRent': False}, {'price': '$2,100+', 'beds': '2', 'roomForRent': False}]","{'latitude': 47.6291, 'longitude': -122.34644}",522 Hs Lewis,True,True,True,False,2.0,False,True,,,2100,,,2.0,,,,,,,,,,,,,,,47.6291,-122.34644,11,7.738515901060069
0. SLU,4zac1u7dp0r0w,https://photos.zillowstatic.com/fp/257df910766cb0fc17fc7924b9b55b63-p_e.jpg,True,/b/108-dexter-ave-n-seattle-wa-9VWjLZ/,FOR_RENT,For Rent,"108 Dexter Ave N, Seattle, WA",108 Dexter Ave N  # 501,Seattle,WA,98109,"[{'price': '$1,820+', 'beds': '1', 'roomForRent': False}, {'price': '$2,040+', 'beds': '2', 'roomForRent': False}]","{'latitude': 47.61901, 'longitude': -122.3424}",,True,False,False,False,5.0,False,False,,,2040,,,2.0,,,,,,,,,,,,,,,47.61901,-122.3424,2,86.57243816254417
0. SLU,50zaqhr2qumjg,https://photos.zillowstatic.com/fp/239f4bf88ceb17b4577e8423c4c26508-p_e.jpg,True,/apartments/seattle-wa/union-view/5Yy8XQ/,FOR_RENT,Union View,"1620 Dexter Ave N, Seattle, WA",1620 Dexter Ave N  # 499011,Seattle,WA,98109,"[{'price': '$1,850+', 'beds': '1', 'roomForRent': False}, {'price': '$2,150+', 'beds': '2', 'roomForRent': False}]","{'latitude': 47.63362, 'longitude': -122.341934}",Union View,True,True,True,False,3.0,False,True,,,2150,,,2.0,,,,,,,,,,,,,,,47.63362,-122.341934,11,7.738515901060069
0. SLU,2dnx4wna9t6rm,https://photos.zillowstatic.com/fp/0150f95daf493dc3130bc5ec93afd190-p_e.jpg,True,/apartments/seattle-wa/dexter-lake-union/5Xk4G9/,FOR_RENT,Dexter Lake Union,"1215 Dexter Ave N, Seattle, WA",1215 Dexter Ave N  Apt 1005,Seattle,WA,98109,"[{'price': '$2,287+', 'beds': '1', 'roomForRent': False}, {'price': '$3,547+', 'beds': '2', 'roomForRent': False}]","{'latitude': 47.630196, 'longitude': -122.3425}",Dexter Lake Union,True,True,True,False,7.0,False,True,,,3547,,,2.0,,,,,,,,,,,,,,,47.630196,-122.3425,6,39.46996466431095
0. SLU,4g5yjhyspvrbe,https://photos.zillowstatic.com/fp/391b2c46b9c63663f5ecb6656d432130-p_e.jpg,True,/apartments/seattle-wa/east-thomas-suites/5YCFqR/,FOR_RENT,East Thomas Suites,"403 E Thomas St, Seattle, WA",403 E  Thomas St # 2B-2Ba-1350Sqft,Seattle,WA,98102,"[{'price': '$1,895+', 'beds': '1', 'roomForRent': False}, {'price': '$2,395+', 'beds': '2', 'roomForRent': False}]","{'latitude': 47.620667, 'longitude': -122.32631}",East Thomas Suites,True,True,True,False,6.0,False,True,,,2395,,,2.0,,,,,,,,,,,,,,,47.620667,-122.32631,16,1.3074204946996417
0. SLU,18scsjzq0j3du,https://photos.zillowstatic.com/fp/45ebabc6a0d746fe15704be609e68028-p_e.jpg,True,/apartments/seattle-wa/viewmont-apartments/5jDznK/,FOR_RENT,Viewmont Apartments,"219 Bellevue Ave, Seattle, WA",219 Bellevue Ave  # 5,Seattle,WA,98102,"[{'price': '$1,150+', 'beds': '1', 'roomForRent': False}, {'price': '$1,850+', 'beds': '2', 'roomForRent': False}]","{'latitude': 47.620132, 'longitude': -122.32675}",Viewmont Apartments,True,True,True,False,2.0,False,True,,,1850,,,2.0,,,,,,,,,,,,,,,47.620132,-122.32675,12,5.229681978798581
0. SLU,4k09ztevzgbgz,https://photos.zillowstatic.com/fp/42e9164f239775dfef20ebb688e34d7e-p_e.jpg,True,/apartments/seattle-wa/dexter-hayes/65jJ8J/,FOR_RENT,Dexter Hayes,"1701 Dexter Ave N, Seattle, WA",1701 Dexter Ave N  # 321,Seattle,WA,98109,"[{'price': '$1,799+', 'beds': '1', 'roomForRent': False}, {'price': '$2,800+', 'beds': '2', 'roomForRent': False}]","{'latitude': 47.63412, 'longitude': -122.34247}",Dexter Hayes,True,True,True,False,8.0,True,True,,,2800,,,2.0,,,,,,,,,,,,,,,47.63412,-122.34247,11,7.738515901060069
0. SLU,4ecfdrgahntxm,https://photos.zillowstatic.com/fp/c11b761cfe2e38cf91b20f42684b1e50-p_e.jpg,True,/apartments/seattle-wa/cascade/9VWk6d/,FOR_RENT,Cascade,"221 Minor Ave N, Seattle, WA",221 Minor Ave  N  # W-307,Seattle,WA,98109,"[{'price': '$2,313+', 'beds': '1', 'roomForRent': False}, {'price': '$3,886+', 'beds': '2', 'roomForRent': False}]","{'latitude': 47.620327, 'longitude': -122.33334}",Cascade,True,True,True,False,14.0,False,True,,,3886,,,2.0,,,,,,,,,,,,,,,47.620327,-122.33334,4,62.3321554770318
0. SLU,4v737s9szuqzw,https://photos.zillowstatic.com/fp/bb988c512200da4d0c7d669e8d1509a4-p_e.jpg,True,/apartments/seattle-wa/one-lakefront/CghmRR/,FOR_RENT,One Lakefront,"1287 Westlake Ave N, Seattle, WA",1287 Westlake Ave  N  # W325,Seattle,WA,98109,"[{'price': '$2,057+', 'beds': '1', 'roomForRent': False}, {'price': '$3,175+', 'beds': '2', 'roomForRent': False}]","{'latitude': 47.63211, 'longitude': -122.34119}",One Lakefront,True,True,True,False,19.0,True,True,,,3175,,,2.0,,,,,,,,,,,,,,,47.63211,-122.34119,2,86.57243816254417
0. SLU,3064m6t9z4y0e,https://photos.zillowstatic.com/fp/f2ceae43798967a25104edb92431517c-p_e.jpg,True,/apartments/seattle-wa/624-yale-apartments/9VWkdH/,FOR_RENT,624 Yale Apartments,"624 Yale Ave N, Seattle, WA",624 Yale Ave N  # 217-A,Seattle,WA,98109,"[{'price': '$2,040+', 'beds': '1', 'roomForRent': False}, {'price': '$2,905+', 'beds': '2', 'roomForRent': False}]","{'latitude': 47.62492, 'longitude': -122.33042}",624 Yale Apartments,True,True,True,False,17.0,False,True,,,2905,,,2.0,,,,,,,,,,,,,,,47.62492,-122.33042,3,74.59363957597174
0. SLU,1t87ab5hbnfvc,https://photos.zillowstatic.com/fp/210d1706464042ff721302e218cc8b94-p_e.jpg,True,/apartments/seattle-wa/sitka/CgGp8z/,FOR_RENT,Sitka,"1255 Harrison St, Seattle, WA",1255 Harrison St   # 460,Seattle,WA,98109,"[{'price': '$2,467+', 'beds': '1', 'roomForRent': False}, {'price': '$3,965+', 'beds': '2', 'roomForRent': False}]","{'latitude': 47.621845, 'longitude': -122.33109}",Sitka,True,True,True,False,26.0,False,True,,,3965,,,2.0,,,,,,,,,,,,,,,47.621845,-122.33109,6,39.46996466431095
0. SLU,39ep497ga8j3f,https://photos.zillowstatic.com/fp/2e8426752573252599152a262b204fba-p_e.jpg,True,/apartments/seattle-wa/radius/62pRyW/,FOR_RENT,Radius,"400 Boren Ave N, Seattle, WA",400 Boren Ave  N  # 838,Seattle,WA,98109,"[{'price': '$1,942+', 'beds': '1', 'roomForRent': False}, {'price': '$3,344+', 'beds': '2', 'roomForRent': False}]","{'latitude': 47.622696, 'longitude': -122.33548}",Radius,True,True,True,False,12.0,False,True,,,3344,,,2.0,,,,,,,,,,,,,,,47.622696,-122.33548,5,50.918727915194346
0. SLU,r9wgujsfaex,https://photos.zillowstatic.com/fp/604ca38096b161ec75e50a5b7ce6f7f6-p_e.jpg,True,/apartments/seattle-wa/amli-535/5XjV3z/,FOR_RENT,AMLI 535,"535 Pontius Ave N, Seattle, WA",535 Pontius Ave N  Apt 128,Seattle,WA,98109,"[{'price': '$2,375+', 'beds': '1', 'roomForRent': False}, {'price': '$3,920+', 'beds': '2', 'roomForRent': False}]","{'latitude': 47.623688, 'longitude': -122.33207}",AMLI 535,True,True,True,False,12.0,True,True,,,3920,,,2.0,,,,,,,,,,,,,,,47.623688,-122.33207,8,23.356890459363953
0. SLU,4y8nkqw1jr8q9,https://photos.zillowstatic.com/fp/ed9e7bea4c8268acc6c41e892732ab54-p_e.jpg,True,/apartments/seattle-wa/marlowe/ChGjpN/,FOR_RENT,Marlowe,"1146 Harrison St, Seattle, WA",1146 Harrison St   # 726,Seattle,WA,98109,"[{'price': '$2,468+', 'beds': '1', 'roomForRent': False}, {'price': '$4,126+', 'beds': '2', 'roomForRent': False}]","{'latitude': 47.6223, 'longitude': -122.33484}",Marlowe,True,True,True,False,4.0,False,True,,,4126,,,2.0,,,,,,,,,,,,,,,47.6223,-122.33484,5,50.918727915194346
0. SLU,25w9nwwudycuz,https://photos.zillowstatic.com/fp/b04bda2227198a4fdff5d4d4b27da1f9-p_e.jpg,True,/apartments/seattle-wa/the-waverly/Bhkj6m/,FOR_RENT,The Waverly,"210 8th Ave N, Seattle, WA",210 8th Ave N  Unit 2609,Seattle,WA,98109,"[{'price': '$2,497+', 'beds': '1', 'roomForRent': False}, {'price': '$4,635+', 'beds': '2', 'roomForRent': False}]","{'latitude': 47.61984, 'longitude': -122.341064}",The Waverly,True,True,True,False,20.0,False,True,,,4635,,,2.0,,,,,,,,,,,,,,,47.61984,-122.341064,3,74.59363957597174
0. SLU,4j9t9q49sw94g,https://photos.zillowstatic.com/fp/ec5f3f4e270aaca2c366e36eb1676748-p_e.jpg,True,/apartments/seattle-wa/mresidences-south-lake-union/5Xk3r2/,FOR_RENT,mResidences South Lake Union,"717 Dexter Ave N, Seattle, WA",717 Dexter Ave  N  Apt 412,Seattle,WA,98109,"[{'price': '$2,000+', 'beds': '1', 'roomForRent': False}, {'price': '$3,000+', 'beds': '2', 'roomForRent': False}]","{'latitude': 47.625988, 'longitude': -122.34274}",mResidences South Lake Union,True,True,True,False,3.0,False,True,,,3000,,,2.0,,,,,,,,,,,,,,,47.625988,-122.34274,3,74.59363957597174
0. SLU,4zbw3jx92zqbs,https://photos.zillowstatic.com/fp/a58821a4a139d729740e00d9543d7a6c-p_e.jpg,True,/apartments/seattle-wa/rollin-street-flats/5XkGYp/,FOR_RENT,Rollin Street Flats,"120 Westlake Ave N, Seattle, WA",120 Westlake Ave N  Apt 827,Seattle,WA,98109,"[{'price': '$3,211+', 'beds': '1', 'roomForRent': False}, {'price': '$4,265+', 'beds': '2', 'roomForRent': False}]","{'latitude': 47.61922, 'longitude': -122.33795}",Rollin Street Flats,True,True,True,False,6.0,False,True,,,4265,,,2.0,,,,,,,,,,,,,,,47.61922,-122.33795,6,39.46996466431095
0. SLU,3617vr3nfw3jf,https://photos.zillowstatic.com/fp/08cf45216fc8bee15c131be0a30f1622-p_e.jpg,True,/apartments/seattle-wa/alcyone/5XjSx7/,FOR_RENT,Alcyone,"301 Minor Ave N, Seattle, WA",301 Minor Ave  N  # 1-314,Seattle,WA,98109,"[{'price': '$2,196+', 'beds': '1', 'roomForRent': False}, {'price': '$3,700+', 'beds': '2', 'roomForRent': False}]","{'latitude': 47.621315, 'longitude': -122.33335}",Alcyone,True,True,True,False,6.0,False,True,,,3700,,,2.0,,,,,,,,,,,,,,,47.621315,-122.33335,6,39.46996466431095
0. SLU,2zdkbj30ugt9k,https://photos.zillowstatic.com/fp/b6d0e41859afb3e07b57e3dd636571bb-p_e.jpg,True,/apartments/seattle-wa/helm/BMmHrn/,FOR_RENT,Helm,"602 Terry Ave N, Seattle, WA",602 Terry Ave N  # 771,Seattle,WA,98109,"[{'price': '$3,575+', 'beds': '1', 'roomForRent': False}, {'price': '$8,550+', 'beds': '2', 'roomForRent': False}]","{'latitude': 47.625153, 'longitude': -122.336845}",Helm,True,True,True,False,6.0,False,True,,,8550,,,2.0,,,,,,,,,,,,,,,47.625153,-122.336845,4,62.3321554770318
0. SLU,5bzg6r4rea69v,https://photos.zillowstatic.com/fp/f992a7c62eb45811fa6831a966819c31-p_e.jpg,True,/apartments/seattle-wa/hawaiian-apartments/5bFm6X/,FOR_RENT,Hawaiian Apartments,"235 Bellevue Ave E, Seattle, WA",235 Bellevue Ave E  # 2B-2Ba-676Sqft,Seattle,WA,98102,"[{'price': '$1,695+', 'beds': '1', 'roomForRent': False}, {'price': '$2,595+', 'beds': '2', 'roomForRent': False}]","{'latitude': 47.62037, 'longitude': -122.32682}",Hawaiian Apartments,True,True,True,False,2.0,False,True,,,2595,,,2.0,,,,,,,,,,,,,,,47.62037,-122.32682,14,2.8268551236749033
0. SLU,3kjgc5vn41y4m,https://photos.zillowstatic.com/fp/8adcc89ca4059b1feee3d56240fd4877-p_e.jpg,True,/apartments/seattle-wa/alt-capitol-hill/Cj8ftb/,FOR_RENT,Alt Capitol Hill,"421 Belmont Ave E, Seattle, WA",421 Belmont Ave E  # 702,Seattle,WA,98102,"[{'price': '$2,029+', 'beds': '1', 'roomForRent': False}, {'price': '$2,799+', 'beds': '2', 'roomForRent': False}]","{'latitude': 47.622635, 'longitude': -122.32429}",Alt Capitol Hill,True,True,True,False,2.0,False,True,,,2799,,,2.0,,,,,,,,,,,,,,,47.622635,-122.32429,11,7.738515901060069
0. SLU,5cynvj2a29mwk,https://photos.zillowstatic.com/fp/252d0f22f0a463f39588114aa01a1143-p_e.jpg,True,/apartments/seattle-wa/amli-south-lake-union/5Z2cjw/,FOR_RENT,AMLI South Lake Union,"1260 Republican St, Seattle, WA",1260 Republican St Apt 719,Seattle,WA,98109,"[{'price': '$2,333+', 'beds': '1', 'roomForRent': False}, {'price': '$3,207+', 'beds': '2', 'roomForRent': False}]","{'latitude': 47.623405, 'longitude': -122.330956}",AMLI South Lake Union,True,True,True,False,16.0,True,True,,,3207,,,2.0,,,,,,,,,,,,,,,47.623405,-122.330956,5,50.918727915194346
0. SLU,93q83guxfmdh,https://photos.zillowstatic.com/fp/3ac451f92debaf71b250b4d12c69892a-p_e.jpg,True,/apartments/seattle-wa/mera/9WS7pB/,FOR_RENT,Mera,"630 Boren Ave N, Seattle, WA",630 Boren Ave  N  # 7786611,Seattle,WA,98109,"[{'price': '$4,265+', 'beds': '1', 'roomForRent': False}, {'price': '$4,210+', 'beds': '2', 'roomForRent': False}]","{'latitude': 47.625458, 'longitude': -122.335495}",Mera,True,True,True,False,3.0,False,True,,,4210,,,2.0,,,,,,,,,,,,,,,47.625458,-122.335495,4,62.3321554770318
0. SLU,3zj9ysfcpwxq1,https://photos.zillowstatic.com/fp/a3fc3e52af15427ea797eb6d8868a828-p_e.jpg,True,/apartments/seattle-wa/the-summit-at-lake-union/5XjLTV/,FOR_RENT,The Summit at Lake Union,"1735 Dexter Ave N, Seattle, WA",1735 Dexter Ave  N  # B306,Seattle,WA,98109,"[{'price': '$1,901+', 'beds': '1', 'roomForRent': False}, {'price': '$3,462+', 'beds': '2', 'roomForRent': False}]","{'latitude': 47.634983, 'longitude': -122.34492}",The Summit at Lake Union,True,True,True,False,3.0,False,True,,,3462,,,2.0,,,,,,,,,,,,,,,47.634983,-122.34492,3,74.59363957597174
0. SLU,4px29v0dtzs1s,https://photos.zillowstatic.com/fp/b866963b800baad84f80abd6a8f7db8a-p_e.jpg,True,/apartments/seattle-wa/equinox-apartments/5Xk5dD/,FOR_RENT,Equinox Apartments,"1524 Eastlake Ave E, Seattle, WA",1524 Eastlake Ave  E  # 407,Seattle,WA,98102,"[{'price': '$2,941+', 'beds': '1', 'roomForRent': False}, {'price': '$3,739+', 'beds': '2', 'roomForRent': False}]","{'latitude': 47.633015, 'longitude': -122.32557}",Equinox Apartments,True,True,True,False,2.0,False,True,,,3739,,,2.0,,,,,,,,,,,,,,,47.633015,-122.32557,3,74.59363957597174
0. SLU,2nwqa3eaqtqa9,https://photos.zillowstatic.com/fp/1fc944d2b6404fcf4d2de8748171694c-p_e.jpg,True,/apartments/seattle-wa/stack-house/5XrhTg/,FOR_RENT,Stack House,"1280 Harrison St, Seattle, WA",1280 Harrison St # A348,Seattle,WA,98109,"[{'price': '$1,935+', 'beds': '1', 'roomForRent': False}, {'price': '$2,295+', 'beds': '2', 'roomForRent': False}]","{'latitude': 47.622143, 'longitude': -122.33094}",Stack House,True,True,True,False,7.0,False,True,,,2295,,,2.0,,,,,,,,,,,,,,,47.622143,-122.33094,6,39.46996466431095
0. SLU,54ph2maa2pkks,https://photos.zillowstatic.com/fp/6029eb0f7a82d8cc16fc0a371525966e-p_e.jpg,True,/apartments/seattle-wa/rivet-apartments/5XjNK4/,FOR_RENT,Rivet Apartments,"1201 Mercer St, Seattle, WA",1201 Mercer St   # 116,Seattle,WA,98109,"[{'price': '$1,550+', 'beds': '1', 'roomForRent': False}, {'price': '$3,400+', 'beds': '2', 'roomForRent': False}]","{'latitude': 47.62394, 'longitude': -122.33275}",Rivet Apartments,True,True,True,False,6.0,False,True,,,3400,,,2.0,,,,,,,,,,,,,,,47.62394,-122.33275,6,39.46996466431095
0. SLU,4aet0exhrx2cs,https://photos.zillowstatic.com/fp/d99fc520d78a5d5a0ee0ba1d00a3abc5-p_e.jpg,True,https://www.zillow.com/apartments/seattle-wa/the-new-carroll-apartments/5XjRj4/,FOR_RENT,Apartment for rent,"The New Carroll Apartments, 305 Bellevue Ave E #C, Seattle, WA 98102",305 Bellevue Ave E #C,Seattle,WA,98102,,"{'latitude': 47.621048, 'longitude': -122.32675}",,,,True,False,,,,ForRent,$,1945,1945.0,False,1.0,1.0,678.0,False,"{'homeInfo': {'zpid': 2071972950, 'streetAddress': '305 Bellevue Ave E #C', 'zipcode': '98102', 'city': 'Seattle', 'state': 'WA', 'latitude': 47.621048, 'longitude': -122.32675, 'price': 1945.0, 'datePriceChanged': 1737187200000, 'bathrooms': 1.0, 'bedrooms': 1.0, 'livingArea': 678.0, 'homeType': 'APARTMENT', 'homeStatus': 'FOR_RENT', 'daysOnZillow': 10, 'isFeatured': True, 'shouldHighlight': False, 'isRentalWithBasePrice': False, 'rentZestimate': 1763, 'listing_sub_type': {}, 'isUnmappable': False, 'isPreforeclosureAuction': False, 'homeStatusForHDP': 'FOR_RENT', 'priceForHDP': 1945.0, 'priceChange': 50, 'timeOnZillow': 910120000, 'isNonOwnerOccupied': True, 'isPremierBuilder': False, 'isZillowOwned': False, 'currency': 'USD', 'country': 'USA', 'unit': '# C', 'isShowcaseListing': False}}",False,False,ForRent,For Rent,False,False,False,False,,,47.621048,-122.32675,16,1.3074204946996417
